premise,hypo,promptID,pairID,genre
"i, ovaj, dakle stvarno sam uživao u tome",Stvarno mi se to svidjelo.,484,1450,telephone
"i, ovaj, dakle stvarno sam uživao u tome",Volio bih još jedno jer sam vidio da je tako lijepo.,484,1451,telephone
"i, ovaj, dakle stvarno sam uživao u tome",To je bilo više nego ogavno!,484,1452,telephone
"Kad se civilno društvo ogluši, lude ideje gube na snazi.",Lude ideje manje su napete kad ih civilno društvo ignorira.,549,1645,oup
"Kad se civilno društvo ogluši, lude ideje gube na snazi.",Lude ideje postaju popularnije u civilnom društvu kad ih civilno društvo ignorira.,549,1646,oup
"Kad se civilno društvo ogluši, lude ideje gube na snazi.",Većinu ludih ideja civilno društvo ignorira.,549,1647,oup
"Sastojeći se od jezgre trojice ili četvorice muškaraca, palomilla je bila važna jedinica socijalizacije koja je mladićima pružala siguran prostor za šalu i samoizražavanje.",Palomille su omogućivale da mladići sebe izraze.,561,1681,oup
"Sastojeći se od jezgre trojice ili četvorice muškaraca, palomilla je bila važna jedinica socijalizacije koja je mladićima pružala siguran prostor za šalu i samoizražavanje.",Palomille su se sastojale samo od nekoliko starica koje su pričale tužne priče o tavama.,561,1682,oup
"Sastojeći se od jezgre trojice ili četvorice muškaraca, palomilla je bila važna jedinica socijalizacije koja je mladićima pružala siguran prostor za šalu i samoizražavanje.",Mladići u palomillama pričali su šale o konjima.,561,1683,oup
"Osim toga, kako mi je njihov ostanak mogao pomoći? A kako mu Pit nije odgovrio: Vidiš? rekao je, i slegnuo ramenima.",Izveo je kretnju ramenima kao znak prihvaćanja.,904,2710,fiction
"Osim toga, kako mi je njihov ostanak mogao pomoći? A kako mu Pit nije odgovrio: Vidiš? rekao je, i slegnuo ramenima.","Rekao im je da ne vidi, no da na kraju to nije tako važno.",904,2711,fiction
"Osim toga, kako mi je njihov ostanak mogao pomoći? A kako mu Pit nije odgovrio: Vidiš? rekao je, i slegnuo ramenima.","Bilo je jasno da mi je ostanak mogao pomoći, pa se nikakvo pitanje nije ni postavljalo.",904,2712,fiction
Tadašnji ravnatelj jedinice za Al Qaidu u CIA-i prisjetio se da nije mislio kako je njegov posao određivati što bi trebalo ili ne bi trebalo učiniti.,"Ravnatelj se nije htio upletati, jer je bio pred mirovinom.",1532,4594,nineeleven
Tadašnji ravnatelj jedinice za Al Qaidu u CIA-i prisjetio se da nije mislio kako je njegov posao određivati što bi trebalo ili ne bi trebalo učiniti.,Ravnatelj jedinice nije se želio upletati u ravnanje onim što je učinjeno.,1532,4595,nineeleven
