promptID,pairID,source,target,MTQE_annotator0,MTQE_annotator1,MTQE_annotator2,MTQE_annotator3,MTQE_annotator4,MTQE_annotator5,MTQE_annotator6,MTQE_scores,MTQE_z_scores,MTQE_mean,MTQE_z_mean
86351,259047,""" Dratted sylphs .",Weblinks,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-1.895309581110594, -2.093899022394276, -1.9664425258730487]",0.0,-1.9852170431259728
58444,175328,Scouts ' Honor,Pfadfinder-Ehre,25,80,69,100.0,15.0,64.0,,"[80.0, 69.0, 64.0]","[0.46775870013358817, 0.08971086648846861, 0.17808626355819165]",71.0,0.2451852767267495
102563,307681,Philadelphia Inquirer .,Weblinks,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-1.895309581110594, -2.093899022394276, -1.9664425258730487]",0.0,-1.9852170431259728
72633,217894,Hungerford thought that work in the ED needed a higher priority and more resources if the field is to move forward .,"Ford ( s ) , Berichterstatter . - ( en ) Herr Präsident , meine Damen und Herren Abgeordneten , Herr Präsident , liebe Kolleginnen und Kollegen !",0,0,0,,,,,"[0.0, 0.0, 0.0]","[-1.895309581110594, -2.093899022394276, -1.9664425258730487]",0.0,-1.9852170431259728
58837,176507,red oak yeah,Rote Eiche yeah,100,100,90,,,,,"[100.0, 100.0, 90.0]","[0.8296373394268215, 1.1081731307655542, 0.7154966815550173]",96.66666666666669,0.8844357172491311
30193,90575,"As you say , said Dunkan .","Wie sie sagen , sagte dunkan .",40,69,40,,,,,"[40.0, 69.0, 40.0]","[-0.8053308128956278, 0.11553076328600681, -0.7744695447939082]",49.66666666666666,-0.4880898648011765
50163,150485,uh thirty two years,Jahre .,0,10,11,,,,,"[0.0, 10.0, 11.0]","[-1.895309581110594, -1.7736918070782932, -1.638649956076285]",7.0,-1.7692171147550573
126996,380970,To measure anything in the floating paper dollar will get us nowhere .,"Um alles in dem Schwimmende zu messen , bringt es uns nicht weiter .",0,40,11,30.0,,,,"[0.0, 11.0, 30.0]","[-1.895309581110594, -1.638649956076285, -2.8277902238072974]",13.666666666666664,-2.1205832536647256
8454,25358,Typically an FGD retrofit can use an existing chimney or stack .,In der Regel kann eine Rea-Nachrüstung einen vorhandenen Schornstein oder Stack verwenden .,100,91,91,,,,,"[100.0, 91.0, 91.0]","[0.8296373394268215, 0.8199866369811696, 0.7452960060819959]",94.0,0.7983066608299957
117821,353451,"You 're right so far , Nye . "" Topham grinned .","Du hast bis jetzt recht , nye . Weblinks",40,45,50,,,,,"[40.0, 45.0, 50.0]","[-0.8053308128956278, -0.6529665534723526, -0.4764762995241231]",45.0,-0.6449245552973678
14028,42080,They spoke of our guys and those guys .,Sie Sprachen von unseren Jungs und diesen Typen .,69,60,60,,,,,"[69.0, 60.0, 60.0]","[-0.015096205939777337, -0.17265573049837793, -0.178483054254338]",63.0,-0.12207833023083108
54395,163181,they 've uh i think i heard Fort Worth that uh,"Ich glaube , ich habe das fort gehört , das es wert ist , dass",11,30,30,,,,,"[11.0, 30.0, 30.0]","[-1.5955654198514784, -1.133277376446327, -1.0724627900636934]",23.66666666666667,-1.2671018621204997
71906,215713,I 've got them in the barn .,Ich habe sie in der Scheune .,100,100,100,,,,,"[100.0, 100.0, 100.0]","[0.8296373394268215, 1.1081731307655542, 1.0134899268248025]",100.0,0.983766799005726
110152,330444,"A full-service , quite plush resort on Lanai 's finest beach ( Hulopoe ) , the Manele Bay Hotel offers water sports , golf , tennis , a spa , and jeep tours .","Das Hotel Jahr bay Hotel bietet Ihnen einen Wellnessbereich , einen Wellnessbereich , einen Whirlpool , einen Whirlpool , einen Wellnessbereich und einen Jeep-Touren .",25,35,29,,,,,"[25.0, 35.0, 29.0]","[-1.2140728509762402, -0.9731737687883356, -1.102262114590672]",29.66666666666667,-1.096502911451749
